S.No,IMO Number,Vessel Name,Maker,Model,Make Type,Detail,Engine Type,Mark,Emission,Features,Injection,MAKE,MODEL
251,9974084,FIRST FALCON,HITACHI-MAN B&W,7S65ME-C MK8.5,MAN B&W,7S65,ME-C,8.5,,,,MAN BW,7S65::8.5
252,9511947,FRONTIER BONANZA,HYUNDAI MAN B&W,6S70MC-C (MK7),MAN B&W,6S70,MC-C,7,,,,MAN BW,6S70::7
253,9610119,FRONTIER LEADER,KAWASAKI MAN B&W,5S60MC-C (MK7),MAN B&W,5S60,MC-C,7,,,,MAN BW,5S60::7
254,9902847,FRONTIER MARINER,HYUNDAI MAN B&W,6G50ME-C9.5-HPSCR,MAN B&W,6G50,ME-C,9.5,,HPSCR,,MAN BW,6G50::9.5
255,9604976,FRONTIER UNITY,MITSUI ENGINEERING & SHIPBUILDING CO. LTD.,6S70MC-C,MAN B&W,6S70,MC-C,,,,,MAN BW,6S70
256,9455791,GALUNGGUNG,WARTSILA CORP.,7RT-FLEX58T-B,Others,,,,,,,Others,
257,9524920,GAMALAMA,WARTSILA CORP.,7RT-FLEX58T-B,Others,,,,,,,Others,
258,9677313,GAMSUNORO,MITSUI MAN B&W,6S60MC-C8.2,MAN B&W,6S60,MC-C,8.2,,,,MAN BW,6S60::8.2
259,9609639,GARNET EXPRESS,HYUNDAI MAN B&W,6S50MC-C MARK 8.1,MAN B&W,6S50,MC-C,8.1,,,,MAN BW,6S50::8.1
260,9609639,GARNET EXPRESS,HYUNDAI MAN B&W,6S50MC-C8.1,MAN B&W,6S50,MC-C,8.1,,,,MAN BW,6S50::8.1
261,9710804,GAS AMBALAT,DAIHATSU DIESEL MFG. CO. LTD.,8DKM-28EL,Others,,,,,,,Others,
262,9525194,GAS ANTASENA,ZHENJIANG CME CO. LTD.,8L27/38,Others,,,,,,,Others,
263,9629421,GAS ARJUNA,DAIHATSU DIESEL MFG. CO. LTD.,8DKM-28EL,Others,,,,,,,Others,
